date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:39	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-4cd4fe6524f6a3fb;gz%22	https://ofertanatalshow.shop/robots.txt		(from )
21:16:39	12620/12620	---M-Z	200	added ('OK')	text/html	etag:%22314c-6931ede9-eef8a3052c68908d;gz%22	https://ofertanatalshow.shop/quiz.html/	C:/Users/dgudt/Downloads/paneta%20333/ofertanatalshow.shop/quiz.html/index.html	(from )
21:16:40	16768/16768	---MCZ	200	added ('OK')	text/javascript	etag:W/%22f64b1f48563b9741dc93aec2e664fb83%22	https://cdn.utmify.com.br/scripts/utms/latest.js	C:/Users/dgudt/Downloads/paneta%20333/cdn.utmify.com.br/scripts/utms/latest.js	(from https://ofertanatalshow.shop/quiz.html/)
21:16:44	39518/39518	---MCZ	200	added ('OK')	text/javascript	etag:W/%227068befb163767cef48271a223e383a1%22	https://cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Users/dgudt/Downloads/paneta%20333/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://ofertanatalshow.shop/quiz.html/)
21:16:44	97976/97976	---M--	200	added ('OK')	image/png	etag:%2217eb8-6931ede9-8c0b5c74400d1b80;;;%22	https://ofertanatalshow.shop/quiz.html/images/logo-cacau-show-DRMZ6zUP.png	C:/Users/dgudt/Downloads/paneta%20333/ofertanatalshow.shop/quiz.html/images/logo-cacau-show-DRMZ6zUP.png	(from https://ofertanatalshow.shop/quiz.html/)
21:16:44	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20Dec%202025%2000:16:44%20GMT	https://ofertanatalshow.shop/quiz.html/product.html	C:/Users/dgudt/Downloads/paneta%20333/ofertanatalshow.shop/quiz.html/product.3.delayed	(from https://ofertanatalshow.shop/quiz.html/)
21:16:45	16001/16001	---M-Z	200	added ('OK')	text/html	etag:%223e81-6931ede9-4d7f60be56fc9a83;gz%22	https://ofertanatalshow.shop/quiz.html/product.html/	C:/Users/dgudt/Downloads/paneta%20333/ofertanatalshow.shop/quiz.html/product.html/index.html	(from https://ofertanatalshow.shop/quiz.html/)
21:16:45	97976/97976	---M--	200	added ('OK')	image/png	etag:%2217eb8-6931edea-171b3004661e4925;;;%22	https://ofertanatalshow.shop/quiz.html/product.html/images/logo-cacau-show-DRMZ6zUP.png	C:/Users/dgudt/Downloads/paneta%20333/ofertanatalshow.shop/quiz.html/product.html/images/logo-cacau-show-DRMZ6zUP.png	(from https://ofertanatalshow.shop/quiz.html/product.html/)
21:16:45	278016/278016	---M--	200	added ('OK')	image/png	etag:%2243e00-6931edea-8516710bf68fc02e;;;%22	https://ofertanatalshow.shop/quiz.html/product.html/images/produto-natal-CeKtcqZK.png	C:/Users/dgudt/Downloads/paneta%20333/ofertanatalshow.shop/quiz.html/product.html/images/produto-natal-CeKtcqZK.png	(from https://ofertanatalshow.shop/quiz.html/product.html/)
21:16:45	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2005%20Dec%202025%2000:16:45%20GMT	https://ofertanatalshow.shop/quiz.html/product.html/checkout.html	C:/Users/dgudt/Downloads/paneta%20333/ofertanatalshow.shop/quiz.html/product.html/checkout.html	(from https://ofertanatalshow.shop/quiz.html/product.html/)
21:16:46	49004/49004	---M-Z	200	added ('OK')	text/html	etag:%22bf6c-6931edea-4cf561d2d636db57;gz%22	https://ofertanatalshow.shop/quiz.html/product.html/checkout.html/	C:/Users/dgudt/Downloads/paneta%20333/ofertanatalshow.shop/quiz.html/product.html/checkout.html/index.html	(from https://ofertanatalshow.shop/quiz.html/product.html/)
